id,site_id,title,price,sold_quantity,thumbnail
MLA1500678666,MLA,Microondas Digital Philco Mpd8720n 20l 700w,83299.0,500,http://http2.mlstatic.com/D_667595-MLU72490821160_102023-I.jpg
MLA1371335087,MLA,Microondas Atma Easy Cook Mr1720npi   Blanco 20l 220v,76999.0,100,http://http2.mlstatic.com/D_804133-MLU72611785165_112023-I.jpg
MLA1118684008,MLA,Microondas Philco Mpr8520npi   Blanco 20l 220v,59946.0,500,http://http2.mlstatic.com/D_982917-MLA52930801098_122022-I.jpg
MLA1364749211,MLA,Microondas Atma Easy Cook Md1720n 700w Blanco 20l 220v,84571.0,5,http://http2.mlstatic.com/D_797289-MLA40172152547_122019-I.jpg
MLA1384428618,MLA,Microondas Bgh Quick Chef B120ds20 Silver 20l 220v,115999.0,500,http://http2.mlstatic.com/D_888488-MLU72491993276_102023-I.jpg
MLA1481574012,MLA,Microondas Digital Atma Matdb20cn Negro 20 Lts 700w,99999.0,1,http://http2.mlstatic.com/D_979405-MLU72492096746_102023-I.jpg
MLA1467958270,MLA,Microondas Grill Atma Md1820gn   Acero Inoxidable 17l 220v,97043.0,3,http://http2.mlstatic.com/D_913746-MLU72542374064_112023-I.jpg
MLA932432342,MLA,Microondas Bgh B120m20 Mecánico Quick Chef Blanco 20 Litros,86999.0,5000,http://http2.mlstatic.com/D_682494-MLU72561009509_102023-I.jpg
MLA1336898497,MLA,Samsung Mg23f3k3ta Mg23f3k3tas/bg - Negro - 220v,136249.0,5,http://http2.mlstatic.com/D_870966-MLU72561067192_112023-I.jpg
MLA903355706,MLA,Microondas Con Grill Samsung 23 Litros Silver Mg23f3k3tas Color Gris Con Negro,159490.0,5,http://http2.mlstatic.com/D_745623-MLA52027686937_102022-I.jpg
MLA1410757082,MLA,Microondas Bgh Eco Negro Digital 20 Litros 700w Monofunción,114500.0,25,http://http2.mlstatic.com/D_915495-MLA51372282399_092022-I.jpg
MLA1111920725,MLA,Microondas Grill Atma Easy Cook Md1728gn   Blanco 28l 220v,101405.0,500,http://http2.mlstatic.com/D_795140-MLU72603594510_112023-I.jpg
MLA1142117802,MLA,Microondas Bgh Eco Negro Digital 23 Litros 800w 220v Negro,139885.0,5,http://http2.mlstatic.com/D_723240-MLA49854576698_052022-I.jpg
MLA1439947018,MLA,Microondas Grill Atma Easy Cook Md1723gn   Blanco 23l 220v,97199.0,250,http://http2.mlstatic.com/D_841302-MLU72653654647_112023-I.jpg
MLA1408509012,MLA,Microondas Digital Con Grill Renacer 23lts Cr823mg Primera,99999.0,100,http://http2.mlstatic.com/D_772171-MLA47425763143_092021-I.jpg
MLA1376198493,MLA,Microondas Rca Rw20dig - Negro - 220v 20l,92999.0,250,http://http2.mlstatic.com/D_750344-MLA52851207163_122022-I.jpg
MLA1551371070,MLA,Microondas Grill Atma Md1823gn   Acero Inoxidable 23l 220v,111890.0,5,http://http2.mlstatic.com/D_984740-MLA41433583964_042020-I.jpg
MLA1135148097,MLA,Microondas Grill Whirlpool Wms25a   Inoxidable 25l 230v - 240v,159999.0,250,http://http2.mlstatic.com/D_785514-MLA52127401082_102022-I.jpg
MLA1246671369,MLA,Microondas Kelvinator K20dig   Silver 20l 220v,97779.0,1,http://http2.mlstatic.com/D_743427-MLA46258145936_062021-I.jpg
MLA1375093301,MLA,Microondas Grill Philco 91mpg8428npi   Blanco 28l 220v,105299.0,150,http://http2.mlstatic.com/D_690832-MLU72579410270_112023-I.jpg
MLA1430922902,MLA,Microondas Grill Samsung Mg22m8054a   Negro 22l 230v,585000.0,5,http://http2.mlstatic.com/D_818622-MLU72535365622_102023-I.jpg
MLA1509003038,MLA,Microondas Grill Digital Siam Mdgsi28n 28 Lts 900w,116999.0,250,http://http2.mlstatic.com/D_670012-MLU72491316428_102023-I.jpg
MLA1394183593,MLA,Microondas Atma Vintage Md1820vn   Blanco 20l 220v,97299.0,5,http://http2.mlstatic.com/D_640576-MLA41816931234_052020-I.jpg
MLA1139238525,MLA,Microondas Daewoo 23 Litros Bifunción Digital 800w Blanco,99429.0,500,http://http2.mlstatic.com/D_770827-MLU72273620596_102023-I.jpg
MLA1395771082,MLA,Daewoo D120d - Negro - 220v,95499.0,200,http://http2.mlstatic.com/D_706719-MLU69495833599_052023-I.jpg
MLA1485882120,MLA,Horno Microondas Con Grill LG - 42 Litros Mh8298dir,273999.0,25,http://http2.mlstatic.com/D_976163-MLA51780078343_092022-I.jpg
